                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.65271,                 1.1417,                 0.9193,                0.95292,                  0.479,                0.45907,                0.41901,                 0.3397,                 0.4748,                0.45517,                0.41422,                0.31838,                0.74125,                 1.4812,                 1.1923,                 1.0419,              0.0077725,              0.0077725,              0.0077725
                     47,                0.64649,                 1.1363,                0.90737,                0.94835,                0.50453,                0.45007,                0.42474,                0.34709,                0.50848,                0.44102,                0.42151,                 0.3252,                0.73697,                 1.4627,                 1.1988,                 1.0365,               0.007723,               0.007723,               0.007723
                     48,                0.64436,                 1.1272,                0.89243,                 0.9474,                0.48571,                0.44527,                0.40956,                0.33438,                0.48919,                0.44041,                0.40672,                 0.3141,                0.73061,                 1.4775,                 1.1963,                 1.0378,              0.0076735,              0.0076735,              0.0076735
                     49,                0.63794,                 1.1301,                0.88648,                0.94716,                0.51061,                0.42593,                0.41134,                0.33493,                0.51077,                 0.4246,                0.40808,                0.31628,                 0.7365,                 1.4713,                 1.1973,                 1.0412,               0.007624,               0.007624,               0.007624
                     50,                0.63838,                  1.125,                 0.8782,                0.94401,                0.51415,                0.42872,                 0.4157,                0.33724,                0.48345,                0.45123,                0.41144,                0.31684,                0.72926,                 1.4809,                 1.1948,                  1.034,              0.0075745,              0.0075745,              0.0075745
                     51,                0.63555,                  1.119,                0.87078,                0.94284,                0.50115,                 0.4512,                0.41527,                0.33805,                0.49855,                0.44788,                0.41118,                0.31949,                0.73403,                 1.4818,                  1.215,                 1.0364,               0.007525,               0.007525,               0.007525
                     52,                0.63277,                 1.1077,                0.85974,                0.93969,                0.52123,                0.42852,                0.41517,                0.33766,                 0.5146,                0.43162,                0.41178,                0.32018,                0.73656,                 1.4957,                 1.2117,                 1.0404,              0.0074755,              0.0074755,              0.0074755
                     53,                0.62938,                 1.1082,                0.85573,                0.94063,                0.51305,                0.43881,                0.41168,                0.33697,                0.51303,                0.43808,                0.41071,                0.31764,                0.72702,                 1.4812,                 1.1991,                 1.0346,               0.007426,               0.007426,               0.007426
                     54,                0.62201,                 1.0906,                 0.8475,                0.93735,                0.49563,                0.45267,                0.41919,                0.34356,                0.49531,                 0.4528,                0.41754,                0.32339,                 0.7227,                 1.4791,                 1.1958,                 1.0314,              0.0073765,              0.0073765,              0.0073765
                     55,                0.62359,                  1.099,                 0.8394,                0.93566,                0.50923,                 0.4538,                0.42578,                0.34894,                0.51094,                 0.4524,                0.42341,                0.32864,                0.72442,                 1.4697,                 1.1988,                 1.0309,               0.007327,               0.007327,               0.007327
                     56,                0.61948,                  1.091,                0.82911,                0.93284,                0.49429,                0.43658,                0.41421,                0.33772,                0.49471,                 0.4328,                0.41086,                0.31862,                 0.7241,                 1.4847,                 1.2123,                 1.0314,              0.0072775,              0.0072775,              0.0072775
                     57,                0.61717,                 1.0783,                0.81666,                0.93321,                0.47152,                0.45023,                0.41058,                0.33519,                0.46606,                0.45095,                0.40555,                0.31749,                0.72471,                 1.4831,                 1.2188,                 1.0351,               0.007228,               0.007228,               0.007228
